delta_salinity_gradient,dissimilarity,node_composition_similarity,delta_salinity
1,0.487394958,0.512605042,1.33
2,0.462387161,0.537612839,4.1325
3,0.555294118,0.444705882,11.31875
4,0.692893401,0.307106599,15.49875
5,0.697860963,0.302139037,19.94875
1,0.388711395,0.611288605,2.8025
2,0.517676768,0.482323232,9.98875
3,0.602739726,0.397260274,14.16875
4,0.649275362,0.350724638,18.61875
1,0.505376344,0.494623656,7.18625
2,0.571612903,0.428387097,11.36625
3,0.646258503,0.353741497,15.81625
1,0.621019108,0.378980892,4.18
2,0.649659864,0.350340136,8.63
1,0.661596958,0.338403042,4.45
