delta_salinity_gradient,type,overlap,all,overlap_persent,delta_salinity,network
1,abundant,117,244,0.479508197,1.33,1&2
2,abundant,118,268,0.440298507,4.1325,1&3
3,abundant,97,189,0.513227513,11.31875,1&4
4,abundant,65,121,0.537190083,15.49875,1&5
5,abundant,62,113,0.548672566,19.94875,1&6
1,abundant,120,287,0.418118467,2.8025,2&3
2,abundant,100,191,0.523560209,9.98875,2&4
3,abundant,70,145,0.482758621,14.16875,2&5
4,abundant,65,121,0.537190083,18.61875,2&6
1,abundant,99,207,0.47826087,7.18625,3&4
2,abundant,77,166,0.463855422,11.36625,3&5
3,abundant,63,130,0.484615385,15.81625,3&6
1,abundant,62,119,0.521008403,4.18,4&5
2,abundant,49,103,0.475728155,8.63,4&6
1,abundant,38,89,0.426966292,4.45,5&6
1,rare,2,244,0.008196721,1.33,1&2
2,rare,4,268,0.014925373,4.1325,1&3
3,rare,2,189,0.010582011,11.31875,1&4
4,rare,1,121,0.008264463,15.49875,1&5
5,rare,1,113,0.008849558,19.94875,1&6
1,rare,4,287,0.013937282,2.8025,2&3
2,rare,3,191,0.015706806,9.98875,2&4
3,rare,1,145,0.006896552,14.16875,2&5
4,rare,2,121,0.016528926,18.61875,2&6
1,rare,2,207,0.009661836,7.18625,3&4
2,rare,1,166,0.006024096,11.36625,3&5
3,rare,0,130,0,15.81625,3&6
1,rare,1,119,0.008403361,4.18,4&5
2,rare,2,103,0.019417476,8.63,4&6
1,rare,0,89,0,4.45,5&6
